D1			Está a decorrer uma cirurgia (colecistectomia laparoscópica), com uma equipe cirúrgica constituída por dois cirurgiões gerais, um anestesiologista e três enfermeiros (circulante / anestesia / instrumentista). O telefone toca é atendido pela enfermeira circulante, que partilha a informação com a restante equipa cirúrgica.
D13.1		Tem mesmo que ser, não? Estamos sempre a apagar fogos.
D13.1.1		É um processo de gestão dos recursos.
D13.2		Estamos no caminho certo. Parece-me uma gestão equilibrada dos recursos.
D13.2.1		Também concordo. Agora temos que organizar as salas.
D13.3		Grande confusão.
D13.3.1		Não é confusão nenhuma. É gestão dos recursos.
D13.4		Mas as salas não estão sempre preparadas? Tem que sair já alguém?
D13.4.1		Estão preparadas, mas há aspetos específicos a preparar no momento.
D14			Chegou a altura de redistribuir todas as funções nesta sala. Proponho que o cirurgião assistente acumule a instrumentação. O anestesiologista tem que assegurar o processo anestésico, com o apoio do enfermeiro circulante.
D14.1		Lá vamos nós. Isto é desmotivante.
D14.1.1		O importante é garantir a qualidade e segurança dos cuidados.
D14.2		Eu? Acumulo duas funções? Nem estou a acreditar…
D14.3		Está de acordo com as guidelines.
D14.3.1		Então vamos prosseguir.
D14.4		Olha, agora também terei que acumular duas funções. Não acho normal….
D15			Assim sendo os timings para mobilizar os recursos serão sair agora o enfermeiro instrumentista para preparar a sala e o cirurgião assistente acumular funções. Daqui a 5 minutos vai chegar a grávida e nessa altura sai também o enfermeiro de anestesia e fico apenas eu nesta sala.
D15.1		Se é para sair devia era sair já.
D15.1.1		Lamento, mas teremos que cumprir as regras.
D15.2		Concordo, podemos avançar.
D15.2.1		Obrigado. Iremos prosseguir.
D15.3		Repito, não concordo nada com esta solução.
D15.4		Tenho que ser o primeiro e preparar tudo sozinho?
D16			Estão definidas as funções para as duas salas e assim fica assegurado o seu funcionamento.
D16.1		Fique registado, eu não assumo a responsabilidade se alguma coisa correr mal.
D16.1.1		Temos que funcionar como equipe. Todos terão que assumir a sua responsabilidade.
D16.1.2		Enquanto enfermeiro responsável concordo e subscrevo a responsabilidade pela equipe de enfermagem.
D16.2		Eu é que devia aqui ficar e o circulante ir para a outra sala.
D16.2.1		Temos que funcionar como equipe. Não iremos alterar o que foi decidido.
D16.3		Eu colaboro, mas não me parece a melhor solução.
D16.3.1		Temos que funcionar como equipe. Esta é a melhor solução com os recursos que temos.
D16.4		Está decidido. Assumo a responsabilidade por considerar ser a melhor opção neste contexto.
D16.4.1		Enquanto enfermeiro responsável concordo e subscrevo a responsabilidade pela equipe de enfermagem.
END1		Então, voltamos todos ao trabalho e vamos fazer o melhor para os doentes.
D17			Eu podia tomar conta das duas salas se a enfermeira anestesista colaborar. 
D17.1		Porque continuamos a falar sobre isto? Vamos terminar de uma vez por todas!
D17.2		Eu é que devia aqui ficar e o circulante ir para a outra sala.
D17.3		Não me parece a melhor solução.
D17.4		Isto é um trabalho de grupo, deveríamos colaborar para encontrar a melhor solução.
D18			De acordo com as recomendações existentes podemos dividir a equipe de enfermagem pelas duas salas.
D18.1		Talvez queiras que vá eu para a outra sala.
D18.1.1		Vá lá, temos que ter calma e assumir atitudes construtivas.
D18.1.2		Nem eu. Não quero essa responsabilidade. 
D18.2		É assim? Não contem comigo!
D18.3		O enfermeiro responsável desta equipe é o circulante. É ela que vai organizar a equipa.
D18.3.1		Muito bem. Concordo plenamente.
D18.3.2		Não contem comigo. Não quero essa responsabilidade.
END2		Uma vez que não estamos de acordo, vamos terminar o mais depressa possível e esperar o melhor para a mulher e para o seu bebé. 
